Company,City,State,Website,Type,Insurance Focus (site says),Xactimate/Est. Software Mentioned,Multiple Locations,Years/Tenure Signal,Est. Lead Score (0-100),Tier,Contact Name,Title,Status,Notes,Source
SERVPRO,Gallatin,TN,https://www.servpro.com,Multi-Location Restoration,"Franchise-based restoration; works with insurance companies on water/fire/mold claims",Not stated,"Yes — 2,000+ locations nationwide",Founded 1967 — 59 years,88,Tier 1,Not identified,Not identified,New,"Largest restoration franchise in the US. 2,000+ locations across all 50 states. Water, fire, mold, storm restoration. Blackstone majority stake since 2019. Massive insurance claims volume across franchise network. Each franchise handles independent insurance claims — strong opportunity for supplement/revenue-recovery across the network.",Official website — servpro.com/about
BELFOR Property Restoration,Birmingham,MI,https://www.belfor.com,Multi-Location Restoration,"Disaster restoration for commercial and residential; global operations with insurance programs",Not stated,"Yes — global network with US operations",Founded 1946 — 80 years,85,Tier 1,Not identified,Not identified,New,"One of the largest disaster restoration companies globally. Handles fire, water, storm, and mold restoration for commercial and residential properties. Prepares hurricane season guides. Strong insurance industry relationships. Significant scale and tenure make this a high-value prospect for Atlas revenue recovery.",Official website — belfor.com/us/en
Paul Davis,Jacksonville,FL,https://pauldavis.com,Insurance Restoration,"Explicitly states: Insurance Claims — We work with property insurance companies to streamline the process. QA department has expert insurance restoration professionals who can review and write estimates.",Not stated,"Yes — 300+ independently owned franchises in US and Canada",Founded 1966 — 60 years,92,Tier 1,Not identified,Not identified,New,"Extremely strong Atlas fit. Explicitly works with insurance companies. QA department reviews and writes estimates. Franchise network with 300+ locations. Pioneered computerized estimates and loss measurement systems — directly shaped industry standards. IICRC-certified. Parent company FirstService Corp. National training center in Jacksonville.",Official website — pauldavis.com/about
Restoration 1,Chicago,IL,https://www.restoration1.com,Multi-Location Restoration,"Explicitly states: We work closely with all insurance companies. We collaborate with everyone — insurance agents, adjusters, you name it.",Not stated,"Yes — largest independent restoration company in the US",Founded 2008 — 18 years,78,Tier 2,Not identified,Not identified,New,"Largest independent restoration company in the US. Explicitly collaborates with insurance agents and adjusters. Water, fire, mold, storm damage services. Strong insurance positioning across all marketing. Franchise-based with nationwide coverage. Good potential for supplement/revenue-recovery integration.",Official website — restoration1.com/about-us
Steamatic,Fort Worth,TX,https://www.steamatic.com,Multi-Location Restoration,"Water damage, fire, mold restoration since 1968. Nationwide franchise network.",Not stated,"Yes — nationwide franchise locations",Founded 1968 — 58 years,75,Tier 2,Not identified,Not identified,New,"Established restoration brand since 1968. Water, fire, mold remediation services. Nationwide franchise network. Over 50 years of operation. Known for innovation in the restoration field. National coverage with local responsiveness. Good fit for Atlas supplement/revenue-recovery.",Official website — steamatic.com
Total Restoration,Magnolia,TX,https://www.totalrestoration.com,Insurance Restoration,"Explicitly mentions: customer testimonials describe working with insurance adjusters. Brandon and crew met with insurance adjuster several times. Their knowledge and experience made it simple for my adjuster to help me get the most from my claim.",Not stated,"No — local Houston/Magnolia TX area",Nearly 30 years,72,Tier 2,Brandon Bowles,Not identified,New,"Family-owned restoration company in Houston/Magnolia TX area. Fire, water, mold, storm, roofing. Customer testimonials explicitly describe working with insurance adjusters and getting the most from claims. ~30 years in business. Mentions working with insurance companies to get claims processed. Strong Atlas fit for supplement/recovery workflow.",Official website — totalrestoration.com
Mr. Restoration,Nashville,TN,https://www.mrrestoration.com,Insurance Restoration,"Explicitly states: Insurance claim assistance. Direct insurance claim assistance.",Not stated,"No — Nashville and Middle Tennessee",20+ years,70,Tier 2,Greg Warren,Owner,New,"Family-owned restoration company in Nashville/Middle TN. 20+ years serving Middle Tennessee. 60+ years combined team experience. IICRC certified in water damage restoration, structural drying, mold remediation. NADCA certified. Explicitly offers insurance claim assistance. 45-minute emergency response time. Good Atlas fit for claims supplement workflow.",Official website — mrrestoration.com
911 Restoration,Los Angeles,CA,https://www.911restoration.com,Multi-Location Restoration,"Storm damage, water damage, fire damage restoration. 24/7 emergency services.",Not stated,"Yes — nationwide franchise locations",Not stated,68,Tier 2,Not identified,Not identified,New,"National restoration franchise providing 24/7 emergency services. Water, fire, mold, storm damage, sewage cleanup, reconstruction. Storm damage explicitly listed as core service. Nationwide coverage. Good fit for Atlas insurance claims and supplement recovery.",Official website — 911restoration.com
AdvantaClean,Mauldin,SC,https://www.advantaclean.com,Multi-Location Restoration,"Water damage restoration, mold remediation, fire damage cleanup. Works with insurance companies.",Not stated,"Yes — nationwide franchise with 200+ locations",25+ years,65,Tier 2,Not identified,Not identified,New,"Franchise-based restoration company specializing in mold remediation, water damage, fire damage cleanup. 25+ years of experience. 200+ franchise locations. IICRC-certified technicians. 24/7 emergency services. Commercial and residential. Good fit for water/mold supplement revenue recovery.",Official website — advantaclean.com
Tadlock Roofing,Tallahassee,FL,https://www.tadlockroofing.com,Roofing Contractor,"Storm damage roofing expert — serves Tallahassee, Pensacola, and Panama City FL. Listed as one of America's Top 100 Roofing Contractors.",Not stated,"No — Tallahassee/Pensacola/Panama City FL",Not stated,74,Tier 2,Not identified,Not identified,New,"America's Top 100 Roofing Contractor. Storm damage specialist serving the Florida Panhandle. Free estimates and financing. Handles hail, wind, and storm damage roofing. Strong insurance claims potential given Florida storm market. Well-known in the region.",Official website — tadlockroofing.com
Koopman Roofing,Pella,IA,https://koopmanroofing.com,General Contractor,"Roofing contractor — handles storm damage including derecho events. Not explicitly insurance-focused but clearly handles storm damage claims.",Not stated,"No — Pella, Iowa with multiple locations",Founded 1959 — 67 years,62,Tier 3,Not identified,Not identified,New,"62 years in business. Top 1% roofing contractor as rated by roofing manufacturers. 15M+ square feet of roofing completed. Handles commercial and residential. Derecho storm damage experience in Cedar Rapids. Well-established Iowa company with strong reputation. Potential Atlas fit for storm damage supplement workflow.",Official website — koopmanroofing.com
RoofCrafters,Austin,TX,https://www.roofcrafters.com,Roofing Contractor,"Storm damage restoration — hail, wind damage, hurricanes. Emergency services.",Not stated,"No — Austin, TX and surrounding areas",100+ years combined team experience,58,Tier 3,Not identified,Not identified,New,"Austin-based roofing contractor. 100+ years combined team experience. GAF and Owens Corning certified. Storm damage is a core service. Handles hail, wind, and hurricane damage. James Hardie siding. Family-owned, licensed. Free inspections. Good potential for storm damage supplement workflow.",Official website — roofcrafters.com
Jones Roofing,Alexandria,VA,https://www.jonesroofing.com,Roofing Contractor,"Not stated — residential and commercial roofing since 1962.",Not stated,"No — Alexandria, VA serving DC/VA/MD",Founded 1962 — 64 years,55,Tier 3,Chris Jones,Not identified,New,"Long-established roofing contractor in Virginia/DC/Maryland. Founded 1962. Residential and commercial roofing. Member of National Roofing Contractors Association. 60+ years in business. Handles reroofing for both residential and commercial. Potential for insurance claim supplement work in the DMV market.",Official website — jonesroofing.com
ServiceMaster Brands,Atlanta,GA,https://www.servicemaster.com,Multi-Location Restoration,"Leader in needs-based services including restoration. Multiple brands across 4,600+ locations.",Not stated,"Yes — 4,600+ locations across 50 states and 9 countries",Founded 1929 — 97 years,82,Tier 1,Not identified,Not identified,New,"Parent company of major restoration brands. $3.6B in system-wide sales. 3,200+ franchisees across 4,600+ locations. 1,000,000+ homes and businesses served annually. Founded 1929 — nearly a century of operation. Six brands across 50 states and 9 countries. Massive scale for Atlas revenue recovery partnership across the entire ServiceMaster ecosystem.",Official website — servicemaster.com
